Produto_numero;Nome;Codigo;Familia_numero;Linha_numero;Grupo;Fabricante;Fabricado_por;Conteudo_unidade;Unidade_medida;Peso_liquido;Peso_bruto;Preco_compra;Preco_venda;Estoque_minimo;Estoque_maximo;Estoque_ideal;Tempo_reposicao
1355;PLASTIC FASTENER STUD HJF / PA66 + INSERTO METALICO;31082177;13;22;Acabado;GOLD MOLD;Terceiros;1;KG;500;501;70758.00;126000.00;9;30;20;15
1356;PLASTIC FASTENER STUD HJF / HDPE + CONJUNTO PA66 E INSERTO METALICO;31082178;13;22;Acabado;GOLD MOLD;Terceiros;1;UN;500;501;118960.00;126000.00;6;30;20;5
1357;PLASTIC FASTENER DIAM 14 c/Validacao;31082179;13;22;Acabado;GOLD MOLD;Terceiros;1;UN;500;501;136944.00;178800.00;3;25;15;4
523;TELA DO AUTO FALANTE;31081742;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;1;2;1.00;1.00;12;30;20;4
555;SOBRE INJEcaO BRACKET SMART CAR PSA;31081773;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;1;2;59638.00;257158.00;11;30;20;15
558;FILLER CUP ASSE B52 PH2 L7;31081776;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;1;2;1.00;1.00;9;30;20;9
559;FILLER CUP ASSE L52 PH2 L7;31081777;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;1;2;1.00;1.00;14;35;25;3
572;TAMPA DA PAPELEIRA;31081790;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;1;2;1.00;1.00;11;30;20;14
578;FRONT WHEEL ARCH UPPER;31081793;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;1499;1500;1.00;1.00;15;35;25;13
579;BAVETE   9812333480  1699007 X  PO;31081794;13;19;Acabado;GOLD MOLD;Terceiros;1;UN;2699;2700;1.00;1.00;14;35;25;14
1468;DE INJEcaO AIRDAM;31082263;13;19;Acabado;PO;Terceiros;1;UN;450;450;80.00;96.00;3;25;15;12
1451;DE INJEcaO CLIP LEVELING TUBE;31082246;13;19;Acabado;PO AUTO INERGY;Terceiros;1;UN;450;450;90.00;108.00;6;30;20;5
1384;DE INJEcaO COVER SCANIA;31082194;13;19;Acabado;PRIMA SOLE;Terceiros;1;UN;1110;1110;70.00;84.00;6;30;20;6
1469;DE INJEcaO FOG LAMP BRACKET;31082264;13;19;Acabado;PO;Terceiros;1;UN;450;450;70.00;84.00;6;30;20;4
1470;DE INJEcaO FOG LAMP COVER;31082265;13;19;Acabado;PO;Terceiros;1;UN;450;450;50.00;60.00;8;30;20;11
1471;DE INJEcaO GRILL COVER LOWER_UPPER;31082266;13;19;Acabado;PO;Terceiros;1;UN;450;450;50.00;60.00;15;35;25;14
1386;DE INJEcaO LED HOUSING SCANIA;31082196;13;19;Acabado;PRIMA SOLE;Terceiros;1;UN;900;900;35.00;42.00;14;35;25;3
1383;DE INJEcaO MUDGUARD COVER SCANIA;31082193;13;22;Acabado;PRIMA SOLE;Terceiros;1;UN;870;870;40.00;48.00;15;35;25;15
740;MaO PRESA SEUIL COFFRE GRIP HANDLE;31081887;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;16392.00;30000.00;11;30;20;11
741;SUPPORT TABLET GARN SUP TABLETTE;31081888;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;41718.00;350000.00;14;35;25;10
742;MaO PRESA SUPPORT TABLET GRIP HANDLE;31081889;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;9354.00;30000.00;3;25;15;7
743;MDC GARN SEUIL COFFRE;31081890;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;22835.00;50000.00;13;30;20;5
744;MDC GARN SUP TABLETE AR;31081891;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;2;48848.00;50000.00;12;30;20;7
748;SUP PESTANA DIANT;31081893;13;19;Acabado;GOOD MOLD;Terceiros;1;UN;1;1;76564.00;80000.00;15;35;25;3
